"2017-04-27 22:51:42,796",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,
"2017-04-27 23:41:40,176","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,11.50,96,1480,784,1480,745,370,96
"2017-04-27 22:54:03,649","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.72,90,1480,819,1480,709,370,90
"2017-04-27 22:56:24,979","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,16.73,93,1480,756,1480,741,370,93
"2017-04-27 22:58:46,096","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,15.94,93,1480,782,1480,698,370,93
"2017-04-27 23:01:06,664","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,15.51,115,1480,769,1480,714,370,115
"2017-04-27 23:03:26,888","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.87,103,1480,764,1480,738,370,103
"2017-04-27 23:05:43,154","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,15.81,108,1480,811,1480,739,370,108
"2017-04-27 23:07:38,249","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,10.75,97,1480,815,1480,754,370,97
"2017-04-27 23:09:32,954","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.23,108,1480,825,1480,731,370,108
"2017-04-27 23:11:25,156","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.95,97,1480,801,1480,710,370,97
"2017-04-27 23:13:20,775","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.40,96,1480,794,1480,725,370,96
"2017-04-27 23:15:41,185","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,15.52,111,1480,776,1480,727,370,111
"2017-04-27 23:17:59,478","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.61,119,1480,797,1480,727,370,119
"2017-04-27 23:20:18,307","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.65,113,1480,778,1480,738,370,113
"2017-04-27 23:22:37,199","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.12,103,1480,786,1480,739,370,103
"2017-04-27 23:24:57,507","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.60,112,1480,773,1480,746,370,112
"2017-04-27 23:27:15,166","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.86,87,1480,799,1480,763,370,87
"2017-04-27 23:29:36,420","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,16.18,109,1480,785,1480,747,370,109
"2017-04-27 23:31:57,244","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,15.30,108,1480,772,1480,741,370,108
"2017-04-27 23:34:17,713","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.67,109,1480,777,1480,725,370,109
"2017-04-27 23:36:23,994","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.38,98,1480,796,1480,753,370,98
"2017-04-27 23:38:17,299","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,10.57,104,1480,817,1480,738,370,104
"2017-04-27 23:40:12,888","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,11.89,109,1480,828,1480,719,370,109
"2017-04-27 23:42:07,202","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,11.11,107,1480,801,1480,743,370,107
"2017-04-27 23:44:00,334","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,10.51,111,1480,782,1480,734,370,111
"2017-04-27 23:45:54,037","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,10.51,96,1480,780,1480,745,370,96
