"2017-04-27 23:44:37,542",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 Out of,2 Misclassif.,3 Out of,3 Misclassif.
"2017-04-28 00:21:43,416","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.43,113,1480,1050,1480,920,370,113
"2017-04-28 00:23:35,299","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.26,127,1480,1000,1480,937,370,127
"2017-04-28 00:25:27,799","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.90,110,1480,1006,1480,923,370,110
"2017-04-28 00:27:19,120","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.23,116,1480,1025,1480,944,370,116
"2017-04-28 00:29:11,158","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.35,110,1480,1008,1480,911,370,110
"2017-04-28 00:31:02,779","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.04,115,1480,1048,1480,886,370,115
"2017-04-28 00:32:55,346","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.38,117,1480,1023,1480,939,370,117
"2017-04-27 23:43:57,143","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,16.00,113,1480,987,1480,899,370,113
"2017-04-27 23:46:11,481","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,16.02,112,1480,1001,1480,916,370,112
"2017-04-27 23:48:25,288","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,16.28,128,1480,972,1480,924,370,128
"2017-04-27 23:50:34,527","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,15.62,120,1480,994,1480,940,370,120
"2017-04-27 23:52:40,227","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,15.60,126,1480,1004,1480,930,370,126
"2017-04-27 23:54:44,645","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,12.27,128,1480,1040,1480,933,370,128
"2017-04-27 23:56:42,452","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.15,111,1480,1000,1480,928,370,111
"2017-04-27 23:58:38,614","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.61,127,1480,1021,1480,943,370,127
"2017-04-28 00:00:35,550","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.40,114,1480,973,1480,926,370,114
"2017-04-28 00:02:33,145","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.71,124,1480,998,1480,956,370,124
"2017-04-28 00:04:28,514","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.64,117,1480,1025,1480,920,370,117
"2017-04-28 00:06:23,285","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,12.85,115,1480,972,1480,920,370,115
