"2016-11-18 09:47:05,477",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-18 09:50:54,224",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:50:57,808",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,22,11,28,4
"2016-11-18 09:51:01,426",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,18,26,6
"2016-11-18 09:51:04,958",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:51:08,755",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,8,24
"2016-11-18 09:51:12,759",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,17,16,16
"2016-11-18 09:51:16,280",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,14,25,7
"2016-11-18 09:51:19,850",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,19,15,19
"2016-11-18 09:51:23,379",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,17,19,13
"2016-11-18 09:51:27,040",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:51:30,689",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:51:34,453",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,26,18,16
"2016-11-18 09:51:38,312",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:51:41,880",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:51:45,349",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:51:48,930",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,12,23,11
"2016-11-18 09:51:52,605",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,75
"2016-11-18 09:51:56,384",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,17,17,17
"2016-11-18 09:52:00,272",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,26,24,10
"2016-11-18 09:52:04,025",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,29,3
"2016-11-18 09:52:07,902",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:52:11,690",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,20,12
"2016-11-18 09:52:15,319",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:52:19,084",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,28,4
"2016-11-18 09:52:22,958",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:52:26,475",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:52:30,122",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,25,7
"2016-11-18 09:52:33,649",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,17,17,24,9
"2016-11-18 09:52:37,143",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-18 09:52:40,755",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,26,6,26,6
"2016-11-18 09:52:44,271",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,20,8,28
"2016-11-18 09:52:47,966",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,4,48,32,0
"2016-11-18 09:52:51,502",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:52:55,235",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,24,8
"2016-11-18 09:52:58,844",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,11,25,26,6
"2016-11-18 09:53:02,465",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,24,8,32,0
"2016-11-18 09:53:06,068",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,30,2
"2016-11-18 09:53:09,737",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:53:13,341",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:53:16,930",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,31,1,32,0
"2016-11-18 09:53:20,598",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:53:24,125",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:53:27,789",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,24,13,19
"2016-11-18 09:53:31,412",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,27,5,27,5
"2016-11-18 09:53:34,969",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:53:38,519",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,10,29,4,29
"2016-11-18 09:53:42,183",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,4,32,23,9
"2016-11-18 09:53:45,802",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,13,22,14,20
"2016-11-18 09:53:49,269",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,10,26,26,8
"2016-11-18 09:53:52,982",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,70,12,24
"2016-11-18 09:53:56,748",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,10,28,12,24
"2016-11-18 09:54:00,425",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,64,5,38
"2016-11-18 09:54:04,130",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:54:07,665",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,23,19,17
"2016-11-18 09:54:11,312",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,27,5,28,4
"2016-11-18 09:54:15,101",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
"2016-11-18 09:54:18,692",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:54:22,304",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,10,22,30,2
"2016-11-18 09:54:26,015",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:54:29,773",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,15,24,10
"2016-11-18 09:54:33,530",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:54:37,086",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,25,7
"2016-11-18 09:54:40,762",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,70,11,25
"2016-11-18 09:54:44,516",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,29,3
"2016-11-18 09:54:48,127",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:54:51,947",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-18 09:54:55,646",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,28,4,30,2
"2016-11-18 09:54:59,234",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-18 09:55:02,914",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:55:06,676",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:55:10,344",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-18 09:55:13,930",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,109,19,16
"2016-11-18 09:55:17,961",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,8,32,32,0
"2016-11-18 09:55:21,666",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:55:25,191",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,24,8
"2016-11-18 09:55:28,819",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,25,23,9
"2016-11-18 09:55:32,566",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-18 09:55:36,390",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-18 09:55:40,005",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,27,5,29,3
"2016-11-18 09:55:43,842",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,21,13,22,11
"2016-11-18 09:55:47,581",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,24,8
"2016-11-18 09:55:51,369",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:55:55,174",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,17,31,1
"2016-11-18 09:55:58,922",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,22,24,9
"2016-11-18 09:56:02,657",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,33,9,33
"2016-11-18 09:56:06,617",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,49,12,22
"2016-11-18 09:56:10,662",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,25,7
"2016-11-18 09:56:14,504",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2016-11-18 09:56:18,496",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-18 09:56:22,844",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,12,26,6
"2016-11-18 09:56:27,143",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,30,2
"2016-11-18 09:56:30,868",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,21,23,10
"2016-11-18 09:56:34,578",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-18 09:56:38,270",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:56:41,959",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:56:45,579",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:56:49,158",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,17,31,1
"2016-11-18 09:56:52,763",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-18 09:56:56,524",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,8,24
"2016-11-18 09:57:00,356",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:57:04,151",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,26,18,20
"2016-11-18 09:57:07,825",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,7,36,16,23
"2016-11-18 09:57:11,403",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-18 09:57:15,036",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,83,9,28
"2016-11-18 09:57:18,587",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,28,4,29,3
"2016-11-18 09:57:22,226",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,30,2,32,0
"2016-11-18 09:57:25,982",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:57:29,648",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,17,15,17,15
"2016-11-18 09:57:33,455",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,158,2,104
"2016-11-18 09:57:37,030",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:57:40,743",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:57:44,386",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,7,40,28,4
"2016-11-18 09:57:48,084",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,13,20,13
"2016-11-18 09:57:51,801",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:57:55,450",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,28,4,29,3
"2016-11-18 09:57:59,041",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,19,29,3
"2016-11-18 09:58:02,887",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:58:06,535",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:58:10,257",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
"2016-11-18 09:58:14,001",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,8,32,2,44
"2016-11-18 09:58:17,696",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:58:21,419",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,26,15,21
"2016-11-18 09:58:24,991",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,28,4,31,1
"2016-11-18 09:58:28,593",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,22,10
"2016-11-18 09:58:32,172",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,17,17,17,17
"2016-11-18 09:58:35,963",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,26,6
"2016-11-18 09:58:39,650",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,21,12,26,7
"2016-11-18 09:58:44,057",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,6,42,15,31
"2016-11-18 09:58:47,614",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:58:51,238",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,30,30,2
"2016-11-18 09:58:54,897",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,24,24,8
"2016-11-18 09:58:58,439",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,30,2,32,0
"2016-11-18 09:59:02,116",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:59:05,857",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,26,6,29,3
"2016-11-18 09:59:09,573",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:59:13,296",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,10,28,27,8
"2016-11-18 09:59:17,052",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,28,4,32,0
"2016-11-18 09:59:20,742",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,19,16,28,4
"2016-11-18 09:59:24,426",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,29,3
"2016-11-18 09:59:28,184",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,8,33,7,33
"2016-11-18 09:59:32,007",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:59:35,672",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,23,9
"2016-11-18 09:59:39,254",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2016-11-18 09:59:42,859",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,25,7,25,7
"2016-11-18 09:59:46,556",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,4,28,28,4
"2016-11-18 09:59:50,596",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,24,8
"2016-11-18 09:59:54,315",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:59:58,543",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,26,24,12
"2016-11-18 10:00:02,201",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,12,20
"2016-11-18 10:00:05,851",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,19,20,14
"2016-11-18 10:00:09,404",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:00:13,037",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:00:16,678",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:00:20,416",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,31,1
"2016-11-18 10:00:24,060",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:00:27,835",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-18 10:00:31,582",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:00:35,070",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:00:38,622",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,28,4
"2016-11-18 10:00:42,271",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,14,19,13
"2016-11-18 10:00:45,957",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,27,6,28,5
"2016-11-18 10:00:49,930",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-18 10:00:53,820",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:00:57,490",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,14,30,2
"2016-11-18 10:01:01,146",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,21,11
"2016-11-18 10:01:04,892",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,8,32,11,33
"2016-11-18 10:01:08,565",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:01:12,300",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,31,1
"2016-11-18 10:01:16,065",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:01:19,739",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,26,6
"2016-11-18 10:01:23,343",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,81,8,43
"2016-11-18 10:01:26,919",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,8,31,6,33
"2016-11-18 10:01:30,550",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:01:34,449",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,30,2,32,0
"2016-11-18 10:01:38,159",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,1,31,16,16
"2016-11-18 10:01:41,752",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2016-11-18 10:01:45,337",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,24,8,32,0
"2016-11-18 10:01:48,971",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,28,4,28,4
"2016-11-18 10:01:52,575",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:01:56,364",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,7,34,19,13
"2016-11-18 10:02:00,033",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,31,1
"2016-11-18 10:02:03,656",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:02:07,287",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,21,11,28,4
"2016-11-18 10:02:11,031",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:02:14,673",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,13,20,13,19
"2016-11-18 10:02:18,352",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,25,7
"2016-11-18 10:02:22,024",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 10:02:25,794",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,9,30,9,30
"2016-11-18 10:02:30,010",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,17,29,3
"2016-11-18 10:02:33,658",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,28,6,28,6
"2016-11-18 10:02:37,256",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,13,26,20,13
"2016-11-18 10:02:40,921",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,17,20,17
"2016-11-18 10:02:44,488",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,29,3
"2016-11-18 10:02:48,252",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,12,24,8
"2016-11-18 10:02:51,848",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,13,20,14,18
"2016-11-18 10:02:55,413",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-18 10:02:58,942",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,17,25,7
"2016-11-18 10:03:02,487",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,17,15,29,3
