"2016-11-17 11:53:16,536",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 11:55:42,034",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,30,19,15
"2016-11-17 11:55:43,645",4,4,102,4,40,40,True,LinearRegression,32,32,20,25,7,26,6
"2016-11-17 11:55:45,227",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:55:46,925",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:55:48,380",4,4,102,4,40,40,True,LinearRegression,32,32,20,30,2,30,2
"2016-11-17 11:55:50,009",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,14,18
"2016-11-17 11:55:51,394",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,34,6,32
"2016-11-17 11:55:52,933",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,16,16
"2016-11-17 11:55:54,479",4,4,102,4,40,40,True,LinearRegression,32,32,20,25,7,24,8
"2016-11-17 11:55:55,820",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:55:57,213",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,62,15,22
"2016-11-17 11:55:58,492",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,27,26,6
"2016-11-17 11:55:59,790",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,40,10,25
"2016-11-17 11:56:01,207",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,36,31,1
"2016-11-17 11:56:02,645",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:56:04,078",4,4,102,4,40,40,True,LinearRegression,32,32,20,24,8,25,7
"2016-11-17 11:56:05,446",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,43,15,19
"2016-11-17 11:56:06,849",4,4,102,4,40,40,True,LinearRegression,32,32,20,29,3,30,2
"2016-11-17 11:56:08,222",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,10,26
"2016-11-17 11:56:09,682",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,52,16,17
"2016-11-17 11:56:11,121",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,56,15,19
"2016-11-17 11:56:12,609",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,32,19,13
"2016-11-17 11:56:13,924",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,56,13,27
"2016-11-17 11:56:15,285",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,23,9
"2016-11-17 11:56:16,657",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:56:18,106",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,33,12,20
"2016-11-17 11:56:19,557",4,4,102,4,40,40,True,LinearRegression,32,32,20,28,4,28,4
"2016-11-17 11:56:20,972",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,53,12,24
"2016-11-17 11:56:22,696",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,20,31,1
"2016-11-17 11:56:24,237",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:56:25,821",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:56:27,142",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,30,2
"2016-11-17 11:56:28,620",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,28,4
"2016-11-17 11:56:30,037",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,31,1
"2016-11-17 11:56:31,593",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,33,17,15
"2016-11-17 11:56:32,957",4,4,102,4,40,40,True,LinearRegression,32,32,20,24,8,29,3
"2016-11-17 11:56:34,410",4,4,102,4,40,40,True,LinearRegression,32,32,20,28,4,28,4
"2016-11-17 11:56:35,781",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:56:37,188",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,52,13,23
"2016-11-17 11:56:38,709",4,4,102,4,40,40,True,LinearRegression,32,32,20,28,4,28,4
"2016-11-17 11:56:40,239",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,32,10,27
"2016-11-17 11:56:41,748",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:56:43,135",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,16,16
"2016-11-17 11:56:44,474",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:56:45,829",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,33,14,22
"2016-11-17 11:56:47,230",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,51,8,34
"2016-11-17 11:56:48,661",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,21,21,12
"2016-11-17 11:56:50,138",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,30,2
"2016-11-17 11:56:51,596",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,40,20,14
