"2016-11-16 01:18:21,027",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 03:59:21,128",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:00:25,693",8,8,90,4,40,40,True,32,32,200,26,6
"2016-11-16 04:01:31,802",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:02:44,141",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:03:54,157",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:05:10,215",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:06:09,558",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:07:21,128",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:08:42,032",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:10:03,435",8,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 04:11:18,617",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:12:26,267",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:13:31,584",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:14:32,019",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:15:52,621",8,8,90,4,40,40,True,32,32,200,3,86
"2016-11-16 04:17:00,993",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:18:26,617",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 04:19:48,000",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:21:10,916",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:22:21,446",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:23:30,933",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:24:44,584",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:25:40,470",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:26:57,964",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:28:26,532",8,8,90,4,40,40,True,32,32,200,13,20
"2016-11-16 04:29:45,005",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:30:55,958",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:32:09,765",8,8,90,4,40,40,True,32,32,200,2,32
"2016-11-16 04:33:29,199",8,8,90,4,40,40,True,32,32,200,31,1
"2016-11-16 04:34:39,361",8,8,90,4,40,40,True,32,32,200,27,5
"2016-11-16 04:35:58,265",8,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 04:37:24,263",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:38:44,884",8,8,90,4,40,40,True,32,32,200,0,33
"2016-11-16 04:40:02,882",8,8,90,4,40,40,True,32,32,200,25,10
"2016-11-16 04:41:29,514",8,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 04:42:36,048",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:43:41,393",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:44:47,888",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:46:05,205",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:47:15,078",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:48:24,381",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:49:37,089",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:50:47,227",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 04:51:56,447",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:53:08,749",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:54:19,048",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:55:21,052",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:56:30,057",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:57:39,116",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:58:55,405",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:59:57,309",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:01:16,625",8,8,90,4,40,40,True,32,32,200,17,17
"2016-11-16 05:02:26,395",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:03:34,916",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:04:51,313",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:06:13,965",8,8,90,4,40,40,True,32,32,200,1,54
"2016-11-16 05:07:25,187",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:08:38,540",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:09:38,238",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:10:56,693",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:12:02,055",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:13:25,550",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:14:32,562",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:15:44,848",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:16:43,782",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:17:53,092",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:18:50,762",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:20:09,001",8,8,90,4,40,40,True,32,32,200,0,154
"2016-11-16 05:21:17,333",8,8,90,4,40,40,True,32,32,200,24,8
"2016-11-16 05:22:29,173",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:23:49,646",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:25:02,804",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:26:18,784",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:27:27,125",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:28:48,046",8,8,90,4,40,40,True,32,32,200,0,67
"2016-11-16 05:30:04,727",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:31:22,797",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:32:44,175",8,8,90,4,40,40,True,32,32,200,7,48
"2016-11-16 05:34:18,656",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:35:34,240",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:36:46,329",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:37:56,839",8,8,90,4,40,40,True,32,32,200,31,1
"2016-11-16 05:39:10,216",8,8,90,4,40,40,True,32,32,200,1,53
"2016-11-16 05:40:20,913",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:41:35,594",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:42:41,882",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:43:49,132",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:44:48,368",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:46:10,886",8,8,90,4,40,40,True,32,32,200,4,39
"2016-11-16 05:47:30,835",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:48:43,444",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:49:53,343",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:51:01,405",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:52:20,182",8,8,90,4,40,40,True,32,32,200,28,6
"2016-11-16 05:53:47,460",8,8,90,4,40,40,True,32,32,200,21,12
"2016-11-16 05:54:58,991",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:56:03,171",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:57:18,456",8,8,90,4,40,40,True,32,32,200,32,0
