"2016-11-22 18:44:41,093",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-22 19:14:17,433",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:14:37,608",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:14:55,613",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:15:14,405",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:15:33,094",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:15:52,887",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:16:11,285",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,20,12,20,12
"2016-11-22 19:16:28,862",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:16:51,135",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-22 19:17:09,477",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,18,15,19,13
"2016-11-22 19:17:28,315",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,13,21,15,20
"2016-11-22 19:17:49,085",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,16,17,15,17
"2016-11-22 19:18:11,238",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:18:29,832",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:18:47,492",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2016-11-22 19:19:08,066",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:19:28,046",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 19:19:46,591",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,24,8,24,8
