"2016-11-17 12:34:35,944",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 12:36:35,780",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:36:37,128",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,31,1
"2016-11-17 12:36:38,522",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,14,18
"2016-11-17 12:36:39,959",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:36:41,286",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,29,19,13
"2016-11-17 12:36:42,762",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,31,1
"2016-11-17 12:36:44,176",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,31,1
"2016-11-17 12:36:45,570",4,4,102,4,40,40,True,LinearRegression,32,32,20,9,33,31,1
"2016-11-17 12:36:46,929",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:36:48,398",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,26,6
"2016-11-17 12:36:49,663",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:36:51,111",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:36:52,466",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,60,9,33
"2016-11-17 12:36:53,872",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,32,11,30
"2016-11-17 12:36:55,321",4,4,102,4,40,40,True,LinearRegression,32,32,20,21,12,25,7
"2016-11-17 12:36:56,745",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:36:58,218",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,37,18,14
"2016-11-17 12:36:59,578",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,39,25,9
"2016-11-17 12:37:01,127",4,4,102,4,40,40,True,LinearRegression,32,32,20,30,2,30,2
"2016-11-17 12:37:02,486",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:37:03,988",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,18,24,9
"2016-11-17 12:37:05,382",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,25,7
"2016-11-17 12:37:06,828",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,46,18,18
"2016-11-17 12:37:08,183",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,19,16,16
"2016-11-17 12:37:09,749",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:37:11,191",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,14,18
"2016-11-17 12:37:12,590",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:37:13,897",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,21,27,5
"2016-11-17 12:37:15,415",4,4,102,4,40,40,True,LinearRegression,32,32,20,30,2,30,2
"2016-11-17 12:37:16,779",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,22,10
"2016-11-17 12:37:18,237",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,30,13,22
"2016-11-17 12:37:19,840",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
