"2017-05-16 21:40:48,587",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps
"2017-05-16 21:50:26,397","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.38,32,32,200,0,9,40,22,14,27,6,26,6
"2017-05-16 21:51:45,324","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.46,32,32,200,0,4,49,20,14,23,9,28,4
"2017-05-16 21:53:02,216","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,45.51,32,32,200,0,6,55,18,19,24,8,28,4
"2017-05-16 21:54:19,030","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.42,32,32,200,0,2,58,17,22,21,15,26,8
"2017-05-16 21:55:37,934","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.98,32,32,200,0,8,46,19,17,24,10,26,8
"2017-05-16 21:56:54,572","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.00,32,32,200,0,4,60,13,28,19,15,25,8
"2017-05-16 21:58:10,694","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,45.20,32,32,200,0,3,66,10,35,15,21,22,14
"2017-05-16 21:59:26,430","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,44.93,32,32,200,0,5,48,18,16,25,7,31,1
"2017-05-16 22:00:46,929","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,48.85,32,32,200,0,6,56,19,21,25,10,28,5
"2017-05-16 22:02:06,396","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,47.74,32,32,200,0,0,57,13,29,18,15,23,9
"2017-05-16 22:03:24,011","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.65,32,32,200,0,3,57,19,15,26,8,29,4
"2017-05-16 22:04:42,669","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.63,32,32,200,0,4,53,18,16,25,9,26,7
"2017-05-16 22:06:01,017","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.37,32,32,200,0,5,55,16,22,23,12,25,8
"2017-05-16 22:07:19,654","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.46,32,32,200,0,3,51,12,24,23,9,28,4
"2017-05-16 22:08:36,522","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,44.97,32,32,200,0,4,46,17,18,23,10,28,4
"2017-05-16 22:09:55,301","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.51,32,32,200,0,5,56,16,23,24,8,29,3
"2017-05-16 22:11:12,851","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.59,32,32,200,0,3,60,14,24,18,16,26,6
"2017-05-16 22:12:29,806","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,44.53,32,32,200,0,4,48,19,17,24,10,27,5
"2017-05-16 22:13:46,234","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,44.81,32,32,200,0,3,66,10,33,18,17,23,11
"2017-05-16 21:41:57,714","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.62,32,32,200,0,5,57,16,23,21,14,24,9
