"2017-05-17 14:37:46,896",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps,5 fully correct seq.,5 mispredicted time steps
"2017-05-17 14:45:09,946","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.05,32,32,200,0,3,58,7,47,10,37,16,24,16,27
"2017-05-17 14:46:26,671","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.71,32,32,200,0,5,55,10,44,8,48,13,35,12,30
"2017-05-17 14:47:47,157","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,48.77,32,32,200,0,7,50,5,40,11,33,9,35,8,32
"2017-05-17 14:49:03,581","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.70,32,32,200,0,8,42,9,35,11,31,12,31,11,31
"2017-05-17 14:50:19,873","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,43.81,32,32,200,0,4,55,10,41,12,29,14,29,11,30
"2017-05-17 14:51:37,221","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.98,32,32,200,0,4,54,9,44,8,44,11,35,10,33
"2017-05-17 14:21:28,547","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,47.20,32,32,200,0,3,66,6,50,5,48,8,41,7,43
"2017-05-17 14:22:47,054","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,45.90,32,32,200,0,2,57,9,45,13,33,12,32,7,39
"2017-05-17 14:24:04,927","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,45.61,32,32,200,0,4,58,3,53,3,45,2,43,5,49
"2017-05-17 14:25:21,895","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.47,32,32,200,0,2,64,3,53,10,36,11,36,8,44
"2017-05-17 14:26:40,060","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,45.44,32,32,200,0,2,49,6,39,10,33,12,27,13,29
"2017-05-17 14:27:59,961","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,47.02,32,32,200,0,1,84,4,60,7,47,6,44,8,44
"2017-05-17 14:29:16,268","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.29,32,32,200,0,5,54,10,40,9,37,8,35,7,44
"2017-05-17 14:30:35,829","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,47.23,32,32,200,0,6,51,12,35,15,29,11,32,15,26
"2017-05-17 14:31:51,606","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.00,32,32,200,0,5,54,7,46,9,41,8,35,6,38
"2017-05-17 14:33:07,466","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,43.74,32,32,200,0,5,56,9,48,7,43,5,44,7,44
"2017-05-17 14:34:23,541","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,43.27,32,32,200,0,1,67,3,55,7,46,7,47,4,45
"2017-05-17 14:35:40,677","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,45.23,32,32,200,0,6,47,7,42,8,42,8,31,6,38
"2017-05-17 14:36:53,038","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,40.90,32,32,200,0,3,58,4,53,6,47,7,40,7,42
"2017-05-17 14:38:06,044","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,41.85,32,32,200,0,5,50,10,45,8,35,10,31,13,28
"2017-05-17 14:39:21,800","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.08,32,32,200,0,6,46,7,36,10,29,12,31,8,30
"2017-05-17 14:40:36,681","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,43.02,32,32,200,0,5,52,11,36,9,34,5,38,8,29
"2017-05-17 14:41:50,523","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.24,32,32,200,0,5,62,7,55,12,39,14,32,13,37
"2017-05-17 14:43:04,675","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.66,32,32,200,0,3,56,3,47,4,44,6,40,6,37
"2017-05-17 14:44:17,743","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,41.21,32,32,200,0,6,41,11,28,13,29,9,33,8,32
"2017-05-17 14:45:31,392","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,41.78,32,32,200,0,3,52,7,46,10,37,10,42,6,48
"2017-05-17 14:46:44,146","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,41.01,32,32,200,0,8,41,9,45,9,41,12,32,10,30
"2017-05-17 14:47:59,625","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.15,32,32,200,0,5,47,12,27,10,30,13,31,11,33
"2017-05-17 14:49:15,310","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.05,32,32,200,0,3,53,7,38,9,32,10,29,9,34
"2017-05-17 14:50:29,557","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.06,32,32,200,0,3,64,6,47,10,34,6,41,11,32
"2017-05-17 14:51:43,008","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.27,32,32,200,0,4,50,7,39,9,38,15,26,7,37
"2017-05-17 14:21:56,215","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,45.94,32,32,200,0,5,46,6,40,9,38,7,42,7,40
