"2017-05-05 05:20:09,013",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif,4 out of,4 misclassif
"2017-05-05 07:40:08,436","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,77.51,74,1480,598,1480,550,1480,537,370,74
"2017-05-05 07:48:31,440","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,84.26,85,1480,596,1480,577,1480,518,370,85
"2017-05-05 07:56:42,098","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,77.37,93,1480,595,1480,575,1480,536,370,93
"2017-05-05 08:04:42,368","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,69.25,95,1480,612,1480,572,1480,523,370,95
"2017-05-05 08:12:49,166","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,80.11,77,1480,597,1480,561,1480,524,370,77
"2017-05-05 08:21:13,224","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,87.94,99,1480,641,1480,583,1480,545,370,99
"2017-05-05 08:29:30,748","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,86.70,89,1480,576,1480,595,1480,534,370,89
"2017-05-05 08:37:47,815","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,80.73,81,1480,633,1480,565,1480,524,370,81
"2017-05-05 08:46:13,446","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,84.63,89,1480,602,1480,551,1480,522,370,89
"2017-05-05 08:54:49,544","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,96.73,76,1480,619,1480,564,1480,544,370,76
"2017-05-05 09:03:07,595","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,76.61,104,1480,600,1480,565,1480,541,370,104
"2017-05-05 09:11:37,607","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,96.91,82,1480,599,1480,573,1480,511,370,82
"2017-05-05 09:20:01,399","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,84.71,87,1480,615,1480,539,1480,548,370,87
"2017-05-05 09:28:13,796","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,77.85,80,1480,598,1480,583,1480,532,370,80
"2017-05-05 09:36:37,547","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,88.81,76,1480,606,1480,577,1480,517,370,76
"2017-05-05 09:44:46,645","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,77.53,90,1480,572,1480,548,1480,543,370,90
"2017-05-05 09:53:05,142","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,86.67,94,1480,638,1480,567,1480,573,370,94
"2017-05-05 10:01:22,493","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,76.81,82,1480,594,1480,608,1480,543,370,82
"2017-05-05 05:24:01,051","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.05,80,1480,596,1480,568,1480,553,370,80
"2017-05-05 05:29:57,211","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.84,84,1480,603,1480,556,1480,534,370,84
"2017-05-05 05:35:50,011","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.81,86,1480,620,1480,582,1480,554,370,86
"2017-05-05 05:41:44,531","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.25,96,1480,597,1480,575,1480,564,370,96
"2017-05-05 05:47:37,265","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.89,84,1480,624,1480,583,1480,535,370,84
"2017-05-05 05:53:27,746","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,46.48,93,1480,602,1480,561,1480,559,370,93
"2017-05-05 05:59:21,850","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.45,93,1480,615,1480,550,1480,516,370,93
"2017-05-05 06:05:12,953","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.20,79,1480,592,1480,585,1480,520,370,79
"2017-05-05 06:11:05,145","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.90,87,1480,595,1480,578,1480,531,370,87
"2017-05-05 06:16:57,359","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.88,84,1480,596,1480,549,1480,541,370,84
"2017-05-05 06:22:52,057","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.10,91,1480,602,1480,580,1480,536,370,91
"2017-05-05 06:28:48,923","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.81,87,1480,624,1480,556,1480,549,370,87
"2017-05-05 06:34:41,827","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,46.71,89,1480,615,1480,567,1480,557,370,89
"2017-05-05 06:40:35,643","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.90,85,1480,588,1480,568,1480,525,370,85
"2017-05-05 06:46:28,549","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.10,94,1480,611,1480,586,1480,535,370,94
"2017-05-05 06:52:21,464","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.19,85,1480,609,1480,546,1480,554,370,85
"2017-05-05 06:58:15,671","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.58,86,1480,573,1480,578,1480,536,370,86
"2017-05-05 07:04:08,516","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.44,92,1480,601,1480,553,1480,557,370,92
"2017-05-05 07:09:59,534","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.01,83,1480,611,1480,523,1480,519,370,83
"2017-05-05 07:15:52,856","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.39,96,1480,596,1480,545,1480,553,370,96
"2017-05-05 07:21:45,434","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,46.66,90,1480,607,1480,570,1480,554,370,90
"2017-05-05 07:27:39,340","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.75,94,1480,586,1480,578,1480,541,370,94
"2017-05-05 07:33:32,445","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.26,80,1480,611,1480,566,1480,548,370,80
"2017-05-05 07:39:28,750","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.31,76,1480,588,1480,564,1480,515,370,76
"2017-05-05 07:45:24,382","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.68,99,1480,593,1480,557,1480,538,370,99
"2017-05-05 05:26:16,300","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.33,92,1480,607,1480,577,1480,537,370,92
"2017-05-05 05:32:13,939","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.03,99,1480,611,1480,557,1480,520,370,99
"2017-05-05 05:38:08,400","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.51,96,1480,620,1480,580,1480,558,370,96
"2017-05-05 05:44:02,100","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.38,91,1480,602,1480,585,1480,529,370,91
"2017-05-05 05:49:56,030","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.20,83,1480,603,1480,563,1480,533,370,83
"2017-05-05 05:55:48,601","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.01,92,1480,621,1480,559,1480,528,370,92
"2017-05-05 06:01:45,705","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.98,97,1480,611,1480,540,1480,534,370,97
"2017-05-05 06:07:41,391","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.03,76,1480,624,1480,574,1480,561,370,76
"2017-05-05 06:13:33,929","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.19,95,1480,611,1480,580,1480,532,370,95
"2017-05-05 06:19:28,339","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.75,76,1480,604,1480,558,1480,541,370,76
"2017-05-05 06:25:23,654","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.87,82,1480,612,1480,560,1480,542,370,82
"2017-05-05 06:31:20,083","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.65,89,1480,611,1480,550,1480,514,370,89
"2017-05-05 06:37:16,486","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.66,92,1480,600,1480,565,1480,565,370,92
"2017-05-05 06:43:08,778","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.09,93,1480,615,1480,565,1480,542,370,93
"2017-05-05 06:49:03,119","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,46.65,91,1480,614,1480,554,1480,550,370,91
"2017-05-05 06:54:56,210","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.72,84,1480,594,1480,560,1480,534,370,84
"2017-05-05 07:00:51,900","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.80,92,1480,608,1480,553,1480,556,370,92
"2017-05-05 07:06:46,608","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.12,87,1480,590,1480,542,1480,544,370,87
"2017-05-05 07:12:38,697","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.32,87,1480,599,1480,568,1480,546,370,87
"2017-05-05 07:18:32,424","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.55,94,1480,600,1480,559,1480,535,370,94
"2017-05-05 07:24:26,684","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.34,92,1480,623,1480,581,1480,572,370,92
"2017-05-05 07:30:20,613","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.05,84,1480,605,1480,576,1480,544,370,84
"2017-05-05 07:36:13,255","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.08,101,1480,592,1480,570,1480,554,370,101
"2017-05-05 07:42:05,812","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.73,90,1480,617,1480,566,1480,532,370,90
"2017-05-05 07:48:01,124","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.54,88,1480,616,1480,545,1480,545,370,88
