"2017-05-23 18:00:05,035",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-23 19:27:21,908","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,45.88,117,1480,631,1480,594,370,117
"2017-05-23 19:32:31,423","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,45.39,101,1480,664,1480,610,370,101
"2017-05-23 19:37:43,428","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,44.55,104,1480,634,1480,608,370,104
"2017-05-23 19:43:11,698","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,62.49,96,1480,632,1480,566,370,96
"2017-05-23 19:48:22,824","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,47.53,91,1480,651,1480,589,370,91
"2017-05-23 19:53:47,585","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,57.36,91,1480,642,1480,616,370,91
"2017-05-23 19:59:12,443","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,60.40,99,1480,636,1480,616,370,99
"2017-05-23 20:04:15,680","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,38.30,105,1480,658,1480,614,370,105
"2017-05-23 20:09:39,161","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,59.32,127,1480,640,1480,612,370,127
"2017-05-23 20:14:58,339","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,51.03,101,1480,641,1480,619,370,101
"2017-05-23 20:20:11,442","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,48.20,92,1480,653,1480,608,370,92
"2017-05-23 20:25:29,683","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,54.38,102,1480,657,1480,584,370,102
"2017-05-23 20:30:46,158","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,46.30,103,1480,661,1480,616,370,103
"2017-05-23 20:35:47,008","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,44.14,85,1480,655,1480,606,370,85
"2017-05-23 17:58:53,339","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,28.99,89,1480,660,1480,575,370,89
"2017-05-23 18:02:36,677","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.73,102,1480,636,1480,594,370,102
"2017-05-23 18:06:20,922","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.61,103,1480,655,1480,622,370,103
