"2017-05-04 13:32:15,207",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-04 15:37:47,603","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,32.53,98,1480,599,1480,562,370,98
"2017-05-04 17:29:48,682","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,61.88,77,1480,590,1480,552,370,77
"2017-05-04 17:36:28,014","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,73.18,89,1480,595,1480,561,370,89
"2017-05-04 17:43:02,932","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,61.69,89,1480,585,1480,552,370,89
"2017-05-04 17:49:45,332","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,69.95,85,1480,586,1480,539,370,85
"2017-05-04 17:56:04,856","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,52.62,91,1480,601,1480,529,370,91
"2017-05-04 18:02:43,010","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,64.59,85,1480,605,1480,536,370,85
"2017-05-04 18:09:26,857","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,73.15,98,1480,556,1480,526,370,98
"2017-05-04 18:15:59,256","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,58.60,90,1480,598,1480,570,370,90
"2017-05-04 18:22:45,554","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,72.79,93,1480,579,1480,545,370,93
"2017-05-04 18:29:07,567","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,54.58,90,1480,605,1480,564,370,90
"2017-05-04 18:35:41,163","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,55.93,98,1480,593,1480,558,370,98
"2017-05-04 18:42:16,581","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,65.22,89,1480,603,1480,530,370,89
"2017-05-04 18:48:50,396","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,54.67,95,1480,606,1480,551,370,95
"2017-05-04 18:55:34,859","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,72.33,90,1480,617,1480,534,370,90
"2017-05-04 19:01:57,311","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,54.86,98,1480,612,1480,542,370,98
"2017-05-04 19:08:40,496","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,66.27,87,1480,590,1480,547,370,87
"2017-05-04 19:15:09,253","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,60.87,97,1480,594,1480,540,370,97
"2017-05-04 19:21:38,303","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,56.01,92,1480,611,1480,542,370,92
"2017-05-04 19:28:19,016","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,71.55,95,1480,588,1480,559,370,95
"2017-05-04 19:34:38,568","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,53.54,94,1480,599,1480,541,370,94
"2017-05-04 19:41:16,860","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,59.82,95,1480,568,1480,552,370,95
"2017-05-04 19:47:55,602","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,73.42,94,1480,596,1480,530,370,94
"2017-05-04 19:54:25,497","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,58.68,87,1480,606,1480,526,370,87
"2017-05-04 20:01:00,860","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,60.12,97,1480,608,1480,543,370,97
"2017-05-04 20:07:23,602","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,56.40,92,1480,621,1480,575,370,92
