"2017-05-17 20:23:26,845",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-17 22:03:30,302","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1321.52,500,100,50,0,0,1428,0,1504,0,1469
"2017-05-17 22:35:25,342","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1209.84,500,100,50,0,0,1435,0,1529,0,1492
"2017-05-17 23:10:17,786","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1386.29,500,100,50,0,0,1408,0,1498,0,1444
"2017-05-17 23:44:40,014","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1283.54,500,100,50,0,0,1415,0,1482,0,1463
"2017-05-18 00:19:28,195","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1328.90,500,100,50,0,0,1416,0,1471,0,1478
"2017-05-18 00:55:34,103","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1451.00,500,100,50,0,0,1411,0,1500,0,1451
"2017-05-18 01:34:32,462","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1584.39,500,100,50,0,0,1434,0,1474,0,1446
"2017-05-18 02:10:32,803","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1419.43,500,100,50,0,0,1429,0,1469,0,1415
"2017-05-18 02:47:39,714","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1444.03,500,100,50,0,0,1402,0,1420,0,1482
"2017-05-18 03:23:26,835","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1349.76,500,100,50,0,0,1416,0,1478,0,1448
"2017-05-18 03:59:07,974","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1354.06,500,100,50,0,0,1391,0,1462,0,1477
"2017-05-18 04:34:43,196","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1310.79,500,100,50,0,0,1439,0,1461,0,1503
"2017-05-18 05:10:44,530","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1355.24,500,100,50,0,0,1389,0,1498,0,1449
"2017-05-18 05:48:35,892","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1492.27,500,100,50,0,0,1416,0,1501,0,1436
"2017-05-18 06:23:05,149","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1369.10,500,100,50,0,0,1436,0,1547,0,1480
"2017-05-18 06:56:53,862","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1293.42,500,100,50,0,0,1413,0,1510,0,1434
"2017-05-18 07:29:23,597","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1240.99,500,100,50,0,0,1434,0,1497,0,1397
"2017-05-18 08:04:14,529","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1403.82,500,100,50,0,0,1379,0,1491,0,1494
"2017-05-18 08:39:46,078","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1401.02,500,100,50,0,0,1418,0,1546,0,1388
"2017-05-18 09:14:50,301","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1332.95,500,100,50,0,0,1432,0,1470,0,1493
"2017-05-18 09:51:57,820","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1454.44,500,100,50,0,0,1435,0,1488,0,1442
"2017-05-18 10:27:22,185","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1436.30,500,100,50,0,0,1368,0,1485,0,1477
"2017-05-18 11:01:00,169","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1328.56,500,100,50,0,0,1454,0,1456,0,1477
