"2017-05-05 02:33:08,977",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif,4 out of,4 misclassif
"2017-05-05 03:53:06,125","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.97,88,1480,582,1480,552,1480,547,370,88
"2017-05-05 04:00:14,726","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.47,95,1480,606,1480,556,1480,519,370,95
"2017-05-05 04:07:20,434","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.51,82,1480,610,1480,526,1480,528,370,82
"2017-05-05 04:14:23,591","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.13,96,1480,596,1480,572,1480,562,370,96
"2017-05-05 04:21:15,352","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,43.00,98,1480,636,1480,557,1480,521,370,98
"2017-05-05 04:27:09,519","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.03,97,1480,606,1480,542,1480,520,370,97
"2017-05-05 04:33:04,526","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.81,99,1480,585,1480,545,1480,516,370,99
"2017-05-05 04:38:58,385","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.64,85,1480,611,1480,578,1480,525,370,85
"2017-05-05 04:44:51,889","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,48.76,85,1480,597,1480,561,1480,533,370,85
"2017-05-05 04:50:46,239","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.54,111,1480,618,1480,583,1480,557,370,111
"2017-05-05 04:56:43,160","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.76,112,1480,586,1480,572,1480,532,370,112
"2017-05-05 05:02:37,675","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,48.47,90,1480,582,1480,541,1480,546,370,90
"2017-05-05 05:08:33,151","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,48.16,102,1480,595,1480,544,1480,539,370,102
"2017-05-05 05:14:28,461","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,48.06,89,1480,612,1480,549,1480,501,370,89
"2017-05-05 05:20:22,235","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.64,90,1480,596,1480,555,1480,546,370,90
