"2017-05-16 22:47:11,436",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps
"2017-05-16 22:50:22,940","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,48.20,32,32,200,0,6,50,17,19,25,7,28,4
"2017-05-16 22:51:40,958","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,45.94,32,32,200,0,4,53,18,18,20,15,24,9
"2017-05-16 22:53:00,860","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,47.46,32,32,200,0,3,57,17,26,19,16,22,12
"2017-05-16 22:54:17,837","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,45.67,32,32,200,0,2,64,16,20,22,10,27,6
"2017-05-16 22:55:34,352","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,44.96,32,32,200,0,3,47,9,29,15,19,25,7
"2017-05-16 22:56:51,552","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,45.76,32,32,200,0,4,56,16,21,21,12,23,9
"2017-05-16 22:58:09,239","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.13,32,32,200,0,3,61,15,23,20,14,23,10
"2017-05-16 22:59:30,492","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,50.71,32,32,200,0,3,62,13,28,18,18,21,13
"2017-05-16 23:00:52,473","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,51.36,32,32,200,0,2,57,14,25,22,10,26,6
"2017-05-16 23:02:15,427","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,52.27,32,32,200,0,3,67,18,26,23,12,25,8
"2017-05-16 23:03:39,180","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,52.62,32,32,200,0,2,61,14,24,22,13,28,5
"2017-05-16 23:04:59,454","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,49.97,32,32,200,0,6,55,11,25,20,12,25,7
"2017-05-16 23:06:15,603","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,45.45,32,32,200,0,6,44,18,18,23,10,30,2
"2017-05-16 23:07:31,598","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,44.67,32,32,200,0,6,54,15,23,23,10,28,5
"2017-05-16 23:08:50,182","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.14,32,32,200,0,3,65,15,21,21,14,25,7
"2017-05-16 23:10:07,455","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.07,32,32,200,0,5,58,16,25,22,11,26,7
"2017-05-16 23:11:23,609","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,45.37,32,32,200,0,7,51,15,18,23,9,24,8
"2017-05-16 23:12:44,232","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,48.81,32,32,200,0,5,48,15,22,24,8,27,5
"2017-05-16 23:14:03,126","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,47.89,32,32,200,0,1,52,15,20,21,12,25,7
"2017-05-16 23:15:25,145","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,51.59,32,32,200,0,1,53,21,12,24,9,26,6
"2017-05-16 23:16:43,939","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,47.76,32,32,200,0,5,50,19,16,22,13,25,7
"2017-05-16 23:18:00,079","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,45.64,32,32,200,0,2,53,19,15,24,8,27,5
"2017-05-16 23:19:17,505","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.61,32,32,200,0,4,48,15,20,22,11,29,4
"2017-05-16 23:20:35,179","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.76,32,32,200,0,1,63,15,23,24,8,25,7
"2017-05-16 22:38:41,943","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,43.89,32,32,200,0,2,59,13,26,25,8,26,6
"2017-05-16 22:39:50,806","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.61,32,32,200,0,3,49,16,18,24,8,27,5
"2017-05-16 22:40:58,521","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,40.70,32,32,200,0,1,62,15,22,23,9,31,1
"2017-05-16 22:42:05,604","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,40.20,32,32,200,0,4,59,15,23,20,13,27,5
"2017-05-16 22:43:15,496","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,42.71,32,32,200,0,7,40,23,11,28,5,30,2
"2017-05-16 22:44:23,855","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.60,32,32,200,0,5,50,16,19,23,9,28,4
"2017-05-16 22:45:32,936","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,42.17,32,32,200,0,6,54,12,25,21,12,27,5
"2017-05-16 22:46:40,951","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,40.79,32,32,200,0,5,51,16,23,21,11,24,9
"2017-05-16 22:47:49,565","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.75,32,32,200,0,3,50,17,23,22,13,24,10
"2017-05-16 22:48:58,456","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,42.00,32,32,200,0,1,53,15,22,22,12,26,7
"2017-05-16 22:50:06,422","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.30,32,32,200,0,3,61,13,21,24,9,27,5
"2017-05-16 22:51:15,086","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.49,32,32,200,0,5,54,14,22,24,8,28,4
"2017-05-16 22:52:22,926","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.01,32,32,200,0,4,55,14,25,19,15,24,9
"2017-05-16 22:53:31,258","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.40,32,32,200,0,2,63,14,20,21,12,28,4
"2017-05-16 22:54:39,815","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.51,32,32,200,0,7,52,20,20,21,13,27,6
"2017-05-16 22:55:48,565","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.89,32,32,200,0,4,54,13,23,21,12,27,5
"2017-05-16 22:56:56,557","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.13,32,32,200,0,5,51,22,13,25,9,28,4
"2017-05-16 22:58:04,752","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.34,32,32,200,0,4,53,18,19,22,11,28,4
"2017-05-16 22:59:13,115","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.39,32,32,200,0,4,56,15,23,20,12,30,2
"2017-05-16 23:00:20,319","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,40.42,32,32,200,0,5,60,14,24,20,13,27,6
"2017-05-16 23:01:28,635","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.30,32,32,200,0,3,52,20,17,24,9,30,3
"2017-05-16 23:02:36,977","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.57,32,32,200,0,0,59,17,19,24,10,27,6
"2017-05-16 23:03:45,524","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.61,32,32,200,0,4,54,13,25,19,14,24,9
"2017-05-16 23:04:53,854","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.41,32,32,200,0,3,58,17,18,20,15,24,8
"2017-05-16 23:06:02,485","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.53,32,32,200,0,3,55,14,21,28,5,29,3
"2017-05-16 22:38:41,903","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,44.17,32,32,200,0,4,57,15,19,23,9,26,7
"2017-05-16 22:39:50,442","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.58,32,32,200,0,4,52,22,14,26,6,30,2
"2017-05-16 22:40:58,681","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.02,32,32,200,0,5,64,14,23,17,18,25,8
"2017-05-16 22:42:05,746","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,40.14,32,32,200,0,3,63,16,23,24,13,27,7
"2017-05-16 22:43:15,502","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,42.42,32,32,200,0,5,60,18,21,19,16,25,7
"2017-05-16 22:44:23,970","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.55,32,32,200,0,3,48,19,14,23,9,26,6
"2017-05-16 22:45:33,274","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,42.18,32,32,200,0,2,61,15,24,23,10,26,6
"2017-05-16 22:46:41,313","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,40.70,32,32,200,0,7,44,17,17,20,12,29,3
"2017-05-16 22:47:49,693","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.48,32,32,200,0,4,56,13,25,20,16,27,5
"2017-05-16 22:48:58,443","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.78,32,32,200,0,3,56,13,28,18,17,22,12
"2017-05-16 22:50:06,485","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.18,32,32,200,0,4,57,16,21,24,11,27,7
"2017-05-16 22:51:14,769","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.33,32,32,200,0,2,56,14,23,15,18,20,13
"2017-05-16 22:52:22,530","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.16,32,32,200,0,3,62,14,24,20,13,25,8
"2017-05-16 22:53:31,015","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.52,32,32,200,0,1,62,15,20,20,13,24,8
"2017-05-16 22:54:39,780","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.69,32,32,200,0,3,57,18,21,24,12,24,8
"2017-05-16 22:55:48,564","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.98,32,32,200,0,1,63,14,25,20,13,28,5
"2017-05-16 22:56:56,629","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.16,32,32,200,0,7,47,18,19,26,8,28,4
"2017-05-16 22:58:05,060","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.56,32,32,200,0,5,47,17,23,21,13,26,8
"2017-05-16 22:59:13,119","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.14,32,32,200,0,3,71,12,36,19,17,19,14
"2017-05-16 23:00:20,216","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,40.43,32,32,200,0,3,56,16,19,23,10,29,4
"2017-05-16 23:01:28,860","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.45,32,32,200,0,5,51,20,14,28,4,29,3
"2017-05-16 23:02:36,995","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.34,32,32,200,0,8,50,22,16,21,13,26,7
"2017-05-16 23:03:45,599","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.66,32,32,200,0,0,69,14,27,20,14,26,6
"2017-05-16 23:04:53,657","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.30,32,32,200,0,4,57,16,22,20,14,20,12
"2017-05-16 23:06:02,249","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,41.90,32,32,200,0,5,68,16,18,23,9,23,9
