"2016-11-16 06:23:06,453",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Wrong bits
"2016-11-16 09:22:57,822",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:24:42,076",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:26:25,811",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:27:59,022",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:29:25,986",8,8,150,4,40,40,True,32,32,200,0,50
"2016-11-16 09:30:54,067",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:32:27,527",8,8,150,4,40,40,True,32,32,200,0,158
"2016-11-16 09:34:08,704",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:35:45,339",8,8,150,4,40,40,True,32,32,200,0,88
"2016-11-16 09:37:27,760",8,8,150,4,40,40,True,32,32,200,0,152
"2016-11-16 09:39:00,750",8,8,150,4,40,40,True,32,32,200,0,158
"2016-11-16 09:40:44,374",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:42:16,198",8,8,150,4,40,40,True,32,32,200,0,98
"2016-11-16 09:43:43,420",8,8,150,4,40,40,True,32,32,200,0,120
"2016-11-16 09:45:12,517",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:46:39,531",8,8,150,4,40,40,True,32,32,200,0,154
"2016-11-16 09:48:17,384",8,8,150,4,40,40,True,32,32,200,5,30
"2016-11-16 09:49:54,493",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:51:26,127",8,8,150,4,40,40,True,32,32,200,1,101
"2016-11-16 09:52:54,074",8,8,150,4,40,40,True,32,32,200,0,63
"2016-11-16 09:54:28,683",8,8,150,4,40,40,True,32,32,200,2,44
"2016-11-16 09:56:01,781",8,8,150,4,40,40,True,32,32,200,0,63
"2016-11-16 09:57:33,292",8,8,150,4,40,40,True,32,32,200,0,149
"2016-11-16 09:59:05,986",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:00:34,204",8,8,150,4,40,40,True,32,32,200,0,101
"2016-11-16 10:02:12,516",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:03:45,778",8,8,150,4,40,40,True,32,32,200,0,124
"2016-11-16 10:05:21,934",8,8,150,4,40,40,True,32,32,200,0,99
"2016-11-16 10:06:55,971",8,8,150,4,40,40,True,32,32,200,0,99
"2016-11-16 10:08:29,285",8,8,150,4,40,40,True,32,32,200,0,128
"2016-11-16 10:10:05,573",8,8,150,4,40,40,True,32,32,200,0,160
