"2016-11-16 01:18:13,385",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 03:43:13,642",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:44:21,976",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:45:26,321",8,8,90,4,40,40,True,32,32,200,25,10
"2016-11-16 03:46:45,421",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:48:02,613",8,8,90,4,40,40,True,32,32,200,14,18
"2016-11-16 03:49:13,388",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:50:21,364",8,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 03:51:34,541",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:52:49,774",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:54:05,356",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:55:28,672",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:56:50,163",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:58:00,019",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:59:32,898",8,8,90,4,40,40,True,32,32,200,10,43
"2016-11-16 04:00:49,950",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:01:50,559",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:02:54,926",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:03:57,545",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:05:04,239",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 04:06:15,406",8,8,90,4,40,40,True,32,32,200,11,24
"2016-11-16 04:07:29,198",8,8,90,4,40,40,True,32,32,200,31,1
"2016-11-16 04:08:41,921",8,8,90,4,40,40,True,32,32,200,26,6
"2016-11-16 04:09:55,435",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:11:17,292",8,8,90,4,40,40,True,32,32,200,20,16
"2016-11-16 04:12:14,641",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:13:21,498",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:14:35,617",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:15:57,500",8,8,90,4,40,40,True,32,32,200,32,0
