"2016-11-15 00:03:11,587",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful
"2016-11-15 00:32:19,117",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:32:34,014",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:32:50,124",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 00:33:04,461",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:33:18,279",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:33:34,180",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:33:50,052",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:34:06,175",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 00:34:23,770",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:34:37,891",4,8,102,4,40,40,32,32,200,59.375000
"2016-11-15 00:34:54,110",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:35:08,438",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:35:24,576",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:35:40,735",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:35:57,112",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:36:13,352",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:36:28,983",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:36:44,411",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 00:36:59,012",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:37:16,194",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:37:31,874",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:37:46,986",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:38:01,272",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:38:16,174",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:38:31,723",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:38:47,309",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:39:02,273",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:39:18,572",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 00:39:32,182",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:39:48,237",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:40:00,841",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:40:15,400",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:40:31,202",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:40:46,083",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:41:00,778",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:41:16,859",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:41:34,875",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:41:50,445",4,8,102,4,40,40,32,32,200,28.125000
"2016-11-15 00:42:06,249",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:42:22,073",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:42:37,885",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:42:54,102",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:43:09,287",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:43:24,912",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:43:41,495",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:43:57,086",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:44:12,680",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:44:26,345",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:44:41,042",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:44:57,989",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:45:13,458",4,8,102,4,40,40,32,32,200,12.500000
"2016-11-15 00:45:27,690",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:45:43,722",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:46:00,459",4,8,102,4,40,40,32,32,200,18.750000
"2016-11-15 00:46:16,758",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:46:32,162",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:46:48,165",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:47:04,051",4,8,102,4,40,40,32,32,200,40.625000
"2016-11-15 00:47:20,058",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 00:47:34,168",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:47:49,245",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:48:05,572",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:48:21,328",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:48:36,010",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:48:50,447",4,8,102,4,40,40,32,32,200,34.375000
"2016-11-15 00:49:06,846",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:49:22,727",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:49:39,399",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 00:49:54,859",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 00:50:09,988",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:50:25,892",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:50:41,321",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:50:56,371",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:51:12,718",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:51:29,239",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 00:51:48,014",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:52:04,037",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:52:19,889",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:52:35,531",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:52:50,023",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:53:06,152",4,8,102,4,40,40,32,32,200,18.750000
"2016-11-15 00:53:21,200",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 00:53:36,651",4,8,102,4,40,40,32,32,200,12.500000
"2016-11-15 00:53:53,251",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 00:54:08,603",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:54:25,256",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 00:54:40,867",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 00:54:57,136",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:55:14,608",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:55:29,483",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:55:42,084",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:55:59,382",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:56:14,271",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:56:31,082",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:56:46,280",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:57:01,892",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 00:57:17,242",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:57:33,315",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:57:48,243",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:58:03,398",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 00:58:19,900",4,8,102,4,40,40,32,32,200,18.750000
"2016-11-15 00:58:34,396",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:58:50,313",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 00:59:06,576",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 00:59:21,432",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:59:36,515",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:59:50,352",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:00:07,720",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 01:00:23,452",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 01:00:38,131",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 01:00:53,215",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:01:10,818",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 01:01:26,140",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:01:42,586",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 01:01:57,661",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:02:12,857",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:02:27,370",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:02:43,665",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 01:02:59,475",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:03:16,019",4,8,102,4,40,40,32,32,200,53.125000
"2016-11-15 01:03:31,694",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 01:03:46,576",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:04:00,780",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 01:04:16,114",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:04:30,632",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 01:04:45,788",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:05:01,098",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:05:16,083",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:05:32,392",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 01:05:45,972",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 01:06:01,610",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 01:06:17,168",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 01:06:35,913",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:06:50,691",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 01:07:08,194",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:07:22,053",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:07:37,779",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 01:07:52,965",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 01:08:07,718",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 01:08:24,052",4,8,102,4,40,40,32,32,200,59.375000
"2016-11-15 01:08:41,314",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:08:56,437",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:09:11,449",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 01:09:27,222",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 01:09:43,324",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:10:00,953",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:10:16,769",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:10:33,276",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:10:50,083",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:11:06,674",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 01:11:24,450",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 01:11:39,255",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 01:11:58,087",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:12:14,245",4,8,102,4,40,40,32,32,200,34.375000
"2016-11-15 01:12:30,147",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 01:12:45,702",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:13:01,135",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 01:13:17,224",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 01:13:32,505",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 01:13:46,851",4,8,102,4,40,40,32,32,200,28.125000
"2016-11-15 01:14:01,844",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 01:14:16,418",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:14:32,499",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 01:14:48,643",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 01:15:03,431",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 01:15:19,173",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 01:15:35,733",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:15:51,327",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 01:16:04,820",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:16:20,789",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:16:34,132",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:16:49,216",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:17:05,128",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:17:20,673",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 01:17:36,549",4,8,102,4,40,40,32,32,200,59.375000
"2016-11-15 01:17:51,535",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:18:07,315",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 01:18:22,041",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 01:18:38,010",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 01:18:53,624",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:19:08,553",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 01:19:24,362",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 01:19:39,259",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:19:53,878",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 01:20:09,408",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:20:26,056",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 01:20:43,305",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:20:58,196",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:21:13,730",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:21:29,337",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 01:21:44,947",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:21:59,855",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:22:17,310",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:22:34,884",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:22:51,359",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 01:23:08,396",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 01:23:25,193",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 01:23:39,526",4,8,102,4,40,40,32,32,200,34.375000
"2016-11-15 01:23:55,172",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:24:10,779",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:24:25,850",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:24:39,978",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 01:24:54,368",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 01:25:10,820",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:25:28,071",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:25:47,479",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 01:26:05,041",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:26:21,094",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:26:40,154",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 01:26:55,762",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:27:11,353",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:27:26,378",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 01:27:43,349",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 01:27:57,424",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 01:28:13,077",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 01:28:28,806",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 01:28:45,236",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 01:29:00,509",4,8,102,4,40,40,32,32,200,12.500000
"2016-11-15 01:29:16,879",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:29:32,317",4,8,102,4,40,40,32,32,200,12.500000
"2016-11-15 01:29:47,831",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 01:30:03,913",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:30:21,395",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 01:30:36,494",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:30:51,885",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:31:08,656",4,8,102,4,40,40,32,32,200,50.000000
