"2016-11-16 23:43:14,084",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-16 23:58:51,094",4,4,102,4,40,40,True,LinearRegression,32,32,200,5,42,13,25
"2016-11-16 23:58:59,000",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,14,18
"2016-11-16 23:59:07,391",4,4,102,4,40,40,True,LinearRegression,32,32,200,14,18,18,14
"2016-11-16 23:59:15,673",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,32,24,8
"2016-11-16 23:59:23,523",4,4,102,4,40,40,True,LinearRegression,32,32,200,24,8,24,8
"2016-11-16 23:59:31,513",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:59:39,550",4,4,102,4,40,40,True,LinearRegression,32,32,200,17,15,22,10
"2016-11-16 23:59:47,794",4,4,102,4,40,40,True,LinearRegression,32,32,200,4,51,12,27
"2016-11-16 23:59:55,746",4,4,102,4,40,40,True,LinearRegression,32,32,200,11,27,12,23
"2016-11-17 00:00:03,683",4,4,102,4,40,40,True,LinearRegression,32,32,200,3,48,11,27
"2016-11-17 00:00:11,991",4,4,102,4,40,40,True,LinearRegression,32,32,200,15,17,16,16
"2016-11-17 00:00:20,122",4,4,102,4,40,40,True,LinearRegression,32,32,200,11,29,15,19
"2016-11-17 00:00:28,637",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:00:36,881",4,4,102,4,40,40,True,LinearRegression,32,32,200,20,12,21,11
"2016-11-17 00:00:44,936",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-17 00:00:52,859",4,4,102,4,40,40,True,LinearRegression,32,32,200,2,48,14,24
"2016-11-17 00:01:00,965",4,4,102,4,40,40,True,LinearRegression,32,32,200,11,21,11,21
"2016-11-17 00:01:09,642",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-17 00:01:17,607",4,4,102,4,40,40,True,LinearRegression,32,32,200,9,27,16,19
"2016-11-17 00:01:25,833",4,4,102,4,40,40,True,LinearRegression,32,32,200,15,17,13,19
"2016-11-17 00:01:33,810",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:01:41,812",4,4,102,4,40,40,True,LinearRegression,32,32,200,26,6,27,5
"2016-11-17 00:01:50,251",4,4,102,4,40,40,True,LinearRegression,32,32,200,19,16,19,15
"2016-11-17 00:01:59,811",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:02:08,244",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:02:16,411",4,4,102,4,40,40,True,LinearRegression,32,32,200,4,28,27,5
"2016-11-17 00:02:24,404",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:02:34,417",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:02:42,981",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:02:50,874",4,4,102,4,40,40,True,LinearRegression,32,32,200,18,14,19,13
"2016-11-17 00:02:58,930",4,4,102,4,40,40,True,LinearRegression,32,32,200,2,53,15,20
"2016-11-17 00:03:06,922",4,4,102,4,40,40,True,LinearRegression,32,32,200,2,33,28,4
"2016-11-17 00:03:15,225",4,4,102,4,40,40,True,LinearRegression,32,32,200,21,11,23,9
"2016-11-17 00:03:23,482",4,4,102,4,40,40,True,LinearRegression,32,32,200,31,1,31,1
"2016-11-17 00:03:31,908",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,32,18,14
"2016-11-17 00:03:41,898",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:03:50,079",4,4,102,4,40,40,True,LinearRegression,32,32,200,3,49,14,23
"2016-11-17 00:03:57,972",4,4,102,4,40,40,True,LinearRegression,32,32,200,23,9,23,9
"2016-11-17 00:04:05,934",4,4,102,4,40,40,True,LinearRegression,32,32,200,18,14,18,14
"2016-11-17 00:04:14,074",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:04:22,094",4,4,102,4,40,40,True,LinearRegression,32,32,200,0,60,13,24
"2016-11-17 00:04:29,945",4,4,102,4,40,40,True,LinearRegression,32,32,200,25,7,25,7
"2016-11-17 00:04:37,775",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-17 00:04:45,721",4,4,102,4,40,40,True,LinearRegression,32,32,200,14,20,28,8
"2016-11-17 00:04:53,913",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-17 00:05:02,001",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:05:09,978",4,4,102,4,40,40,True,LinearRegression,32,32,200,4,39,26,6
"2016-11-17 00:05:18,295",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:05:28,455",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:05:36,418",4,4,102,4,40,40,True,LinearRegression,32,32,200,20,12,28,4
"2016-11-17 00:05:44,257",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,14,18
"2016-11-17 00:05:52,423",4,4,102,4,40,40,True,LinearRegression,32,32,200,17,15,17,15
"2016-11-17 00:06:00,227",4,4,102,4,40,40,True,LinearRegression,32,32,200,3,51,12,26
"2016-11-17 00:06:08,360",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:06:16,447",4,4,102,4,40,40,True,LinearRegression,32,32,200,11,29,12,29
"2016-11-17 00:06:24,487",4,4,102,4,40,40,True,LinearRegression,32,32,200,15,18,15,18
"2016-11-17 00:06:32,344",4,4,102,4,40,40,True,LinearRegression,32,32,200,11,28,11,28
"2016-11-17 00:06:40,340",4,4,102,4,40,40,True,LinearRegression,32,32,200,21,11,27,5
"2016-11-17 00:06:48,231",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:06:56,262",4,4,102,4,40,40,True,LinearRegression,32,32,200,7,32,9,30
"2016-11-17 00:07:04,373",4,4,102,4,40,40,True,LinearRegression,32,32,200,1,53,13,27
"2016-11-17 00:07:14,730",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:07:22,958",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:07:31,068",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:07:39,288",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,32,16,16
"2016-11-17 00:07:47,725",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:07:55,731",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:08:03,882",4,4,102,4,40,40,True,LinearRegression,32,32,200,15,17,17,15
"2016-11-17 00:08:11,745",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,12,20
"2016-11-17 00:08:19,746",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:08:27,731",4,4,102,4,40,40,True,LinearRegression,32,32,200,7,42,24,8
"2016-11-17 00:08:35,892",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:08:43,933",4,4,102,4,40,40,True,LinearRegression,32,32,200,5,33,18,17
"2016-11-17 00:08:52,163",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:08:59,913",4,4,102,4,40,40,True,LinearRegression,32,32,200,22,11,22,11
"2016-11-17 00:09:08,473",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:09:16,273",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:09:24,308",4,4,102,4,40,40,True,LinearRegression,32,32,200,4,48,4,46
"2016-11-17 00:09:32,348",4,4,102,4,40,40,True,LinearRegression,32,32,200,30,2,32,0
"2016-11-17 00:09:40,399",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-17 00:09:48,303",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,28,19,14
"2016-11-17 00:09:56,223",4,4,102,4,40,40,True,LinearRegression,32,32,200,0,54,11,25
"2016-11-17 00:10:04,299",4,4,102,4,40,40,True,LinearRegression,32,32,200,22,10,22,10
"2016-11-17 00:10:12,230",4,4,102,4,40,40,True,LinearRegression,32,32,200,31,1,32,0
"2016-11-17 00:10:20,529",4,4,102,4,40,40,True,LinearRegression,32,32,200,13,23,11,26
"2016-11-17 00:10:28,552",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,32,8,32
"2016-11-17 00:10:36,540",4,4,102,4,40,40,True,LinearRegression,32,32,200,10,29,9,29
"2016-11-17 00:10:44,685",4,4,102,4,40,40,True,LinearRegression,32,32,200,4,46,12,26
"2016-11-17 00:10:52,668",4,4,102,4,40,40,True,LinearRegression,32,32,200,6,28,19,16
"2016-11-17 00:11:00,912",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-17 00:11:08,863",4,4,102,4,40,40,True,LinearRegression,32,32,200,7,34,9,30
